"id","unit_id","branch_id","flow_id","node_id","node_parent_id","node_code","node_name","node_name_lookup","node_ip","node_port","node_version","node_type","sub_network","file_format_version","vendor_name","dc","file_type","node_manager","node_manager_name","source_ip","source_connection_id","source_path","source_file_format","source_time_period","source_starts_with","source_contains","source_ends_with","source_last_modified_time","primary_source_ip","primary_source_connection_id","primary_source_path","primary_source_file_format","primary_source_time_period","primary_source_starts_with","primary_source_contains","primary_source_ends_with","primary_source_last_modified_time","secondary_source_ip","secondary_source_connection_id","secondary_source_path","secondary_source_file_format","secondary_source_time_period","secondary_source_starts_with","secondary_source_contains","secondary_source_ends_with","secondary_source_last_modified_time","is_active","created_time","created_by","updated_time","updated_by","extra_info"
452,111,111,111,1,,CGWCPSKH01,CGWCPSKH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
453,111,111,111,2,,CGWCTZLH01,CGWCTZLH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
454,111,111,111,3,,CGWUPSKH01,CGWUPSKH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
455,111,111,111,4,,CGWUTZLH01,CGWUTZLH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
456,111,111,111,5,,CREPPSKH01,CREPPSKH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
457,111,111,111,6,,CREPTZLH01,CREPTZLH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
458,111,111,111,7,,EPDGGZMH01.ePDG_VNFC,EPDGGZMH01.ePDG_VNFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
459,111,111,111,8,,EPDGGZMH01.VNFP,EPDGGZMH01.VNFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
460,111,111,111,9,,EPDGGZMH01.VNRS_VNFC,EPDGGZMH01.VNRS_VNFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
461,111,111,111,10,,EPDGPSKH01.ePDG_VNFC,EPDGPSKH01.ePDG_VNFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
462,111,111,111,11,,EPDGPSKH01.VNFP,EPDGPSKH01.VNFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
463,111,111,111,12,,EPDGPSKH01.VNRS_VNFC,EPDGPSKH01.VNRS_VNFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
464,111,111,111,13,,EPDGTZLH01.ePDG_VNFC,EPDGTZLH01.ePDG_VNFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
465,111,111,111,14,,EPDGTZLH01.VNFP,EPDGTZLH01.VNFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
466,111,111,111,15,,EPDGTZLH01.VNRS_VNFC,EPDGTZLH01.VNRS_VNFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
467,111,111,111,16,,GWCADNH01,GWCADNH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
468,111,111,111,17,,GWCADNH02,GWCADNH02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
469,111,111,111,18,,GWCESYH01,GWCESYH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
